producer_cpu,consumer_cpu,producer_socket,consumer_socket,producer_core,consumer_core,producer_smt,consumer_smt,width,round,pinned,throughput_mps
0,1,0,0,0,1,0,0,0,0,1,298.531
0,1,0,0,0,1,0,0,0,1,1,296.7
0,1,0,0,0,1,0,0,0,2,1,297.773
0,1,0,0,0,1,0,0,0,3,1,294.834
0,1,0,0,0,1,0,0,0,4,1,295.056
0,1,0,0,0,1,0,0,1,0,1,298.66
0,1,0,0,0,1,0,0,1,1,1,300.261
0,1,0,0,0,1,0,0,1,2,1,297.593
0,1,0,0,0,1,0,0,1,3,1,301.471
0,1,0,0,0,1,0,0,1,4,1,298.844
0,1,0,0,0,1,0,0,2,0,1,345.696
0,1,0,0,0,1,0,0,2,1,1,345.196
0,1,0,0,0,1,0,0,2,2,1,350.998
0,1,0,0,0,1,0,0,2,3,1,350.332
0,1,0,0,0,1,0,0,2,4,1,353.051
0,1,0,0,0,1,0,0,3,0,1,483.794
0,1,0,0,0,1,0,0,3,1,1,479.185
0,1,0,0,0,1,0,0,3,2,1,479.241
0,1,0,0,0,1,0,0,3,3,1,488.183
0,1,0,0,0,1,0,0,3,4,1,490.629
0,1,0,0,0,1,0,0,4,0,1,796.955
0,1,0,0,0,1,0,0,4,1,1,788.64
0,1,0,0,0,1,0,0,4,2,1,788.637
0,1,0,0,0,1,0,0,4,3,1,789.505
0,1,0,0,0,1,0,0,4,4,1,796.408
0,1,0,0,0,1,0,0,5,0,1,680.145
0,1,0,0,0,1,0,0,5,1,1,680.523
0,1,0,0,0,1,0,0,5,2,1,688.326
0,1,0,0,0,1,0,0,5,3,1,678.606
0,1,0,0,0,1,0,0,5,4,1,688.893
0,1,0,0,0,1,0,0,6,0,1,719.008
0,1,0,0,0,1,0,0,6,1,1,727.089
0,1,0,0,0,1,0,0,6,2,1,722.116
0,1,0,0,0,1,0,0,6,3,1,725.271
0,1,0,0,0,1,0,0,6,4,1,735.229
0,1,0,0,0,1,0,0,7,0,1,740.01
0,1,0,0,0,1,0,0,7,1,1,725.837
0,1,0,0,0,1,0,0,7,2,1,754.696
0,1,0,0,0,1,0,0,7,3,1,734.004
0,1,0,0,0,1,0,0,7,4,1,518.268
0,1,0,0,0,1,0,0,8,0,1,876.583
0,1,0,0,0,1,0,0,8,1,1,812.446
0,1,0,0,0,1,0,0,8,2,1,848.379
0,1,0,0,0,1,0,0,8,3,1,893.895
0,1,0,0,0,1,0,0,8,4,1,908.803
0,2,0,0,0,2,0,0,0,0,1,300.424
0,2,0,0,0,2,0,0,0,1,1,301.124
0,2,0,0,0,2,0,0,0,2,1,300.035
0,2,0,0,0,2,0,0,0,3,1,300.793
0,2,0,0,0,2,0,0,0,4,1,300.622
0,2,0,0,0,2,0,0,1,0,1,301.123
0,2,0,0,0,2,0,0,1,1,1,302.038
0,2,0,0,0,2,0,0,1,2,1,300.843
0,2,0,0,0,2,0,0,1,3,1,301.112
0,2,0,0,0,2,0,0,1,4,1,297.698
0,2,0,0,0,2,0,0,2,0,1,350.292
0,2,0,0,0,2,0,0,2,1,1,352.9
0,2,0,0,0,2,0,0,2,2,1,352.175
0,2,0,0,0,2,0,0,2,3,1,352.867
0,2,0,0,0,2,0,0,2,4,1,349.66
0,2,0,0,0,2,0,0,3,0,1,491.543
0,2,0,0,0,2,0,0,3,1,1,494.196
0,2,0,0,0,2,0,0,3,2,1,494.348
0,2,0,0,0,2,0,0,3,3,1,490.456
0,2,0,0,0,2,0,0,3,4,1,493.498
0,2,0,0,0,2,0,0,4,0,1,793.15
0,2,0,0,0,2,0,0,4,1,1,781.675
0,2,0,0,0,2,0,0,4,2,1,788.946
0,2,0,0,0,2,0,0,4,3,1,792.108
0,2,0,0,0,2,0,0,4,4,1,761.375
0,2,0,0,0,2,0,0,5,0,1,703.615
0,2,0,0,0,2,0,0,5,1,1,695.286
0,2,0,0,0,2,0,0,5,2,1,700.535
0,2,0,0,0,2,0,0,5,3,1,699.516
0,2,0,0,0,2,0,0,5,4,1,703.539
0,2,0,0,0,2,0,0,6,0,1,726.688
0,2,0,0,0,2,0,0,6,1,1,726.913
0,2,0,0,0,2,0,0,6,2,1,732.365
0,2,0,0,0,2,0,0,6,3,1,741.76
0,2,0,0,0,2,0,0,6,4,1,735.057
0,2,0,0,0,2,0,0,7,0,1,751.354
0,2,0,0,0,2,0,0,7,1,1,731.789
0,2,0,0,0,2,0,0,7,2,1,757.893
0,2,0,0,0,2,0,0,7,3,1,735.094
